zip,elevation_m,Temp
04976,90,80
04978,82,80
04979,160,80
04981,74,80
04982,455,80
04983,472,80
04984,334,80
04985,313,80
04986,138,80
04987,126,80
04988,103,80
04989,52,80
04992,116,80
05001,257,82
05009,195,82
05030,143,82
05031,544,82
05032,304,82
05033,300,82
05034,302,82
05035,628,82
05036,423,82
05037,259,82
05038,369,82
05039,542,82
05040,380,82
05041,387,82
05042,433,82
05043,234,82
05045,396,82
05046,406,82
05048,364,82
05050,155,82
05051,265,82
05052,186,82
05053,404,82
05055,331,82
05056,585,82
05058,402,82
05059,346,82
05060,390,82
05061,325,82
05062,418,82
05065,370,82
05067,416,82
05068,440,82
05069,329,82
05070,527,82
05071,475,82
05072,303,82
05073,200,82
05075,316,82
05076,470,82
05077,411,82
05079,510,82
05081,297,82
05083,336,82
05084,297,82
05086,470,82
05088,134,82
05089,366,82
05091,361,82
05101,278,82
05141,214,82
05142,342,82
05143,380,82
05146,514,82
05148,444,82
05149,363,82
05150,175,82
05151,195,82
05152,908,82
05153,470,82
05154,198,82
05155,385,82
05156,304,82
05158,232,82
05161,518,82
05201,690,82
05250,723,82
05251,333,82
05252,707,82
05253,336,82
05254,250,82
05255,762,82
05257,301,82
05260,196,82
05261,441,82
05262,1071,82
05301,439,82
05340,701,82
05341,666,82
05342,456,82
05343,626,82
05344,495,82
05345,340,82
05346,358,82
05350,601,82
05351,473,82
05352,774,82
05353,403,82
05354,104,82
05355,559,82
05356,763,82
05358,551,82
05359,538,82
05360,738,82
05361,513,82
05362,351,82
05363,636,82
05401,41,82
05403,111,82
05404,78,82
05405,122,82
05408,36,82
05439,99,82
05440,39,82
05441,247,82
05442,678,82
05443,333,82
05444,320,82
05445,221,82
05446,41,82
05447,124,82
05448,185,82
05450,185,82
05452,154,82
05454,251,82
05455,223,82
05456,45,82
05457,217,82
05458,52,82
05459,87,82
05461,131,82
05462,243,82
05463,31,82
05464,304,82
05465,333,82
05468,98,82
05471,576,82
05472,115,82
05473,121,82
05474,36,82
05476,347,82
05477,371,82
05478,84,82
05481,33,82
05482,35,82
05483,179,82
05485,108,82
05486,37,82
05487,643,82
05488,41,82
05489,572,82
05491,35,82
05492,378,82
05494,169,82
05495,262,82
05602,327,82
05640,363,82
05641,402,82
05647,398,82
05648,400,82
05649,617,82
05650,354,82
05651,286,82
05652,441,82
05653,623,82
05654,426,82
05655,319,82
05656,228,82
05658,377,82
05660,275,82
05661,234,82
05663,467,82
05664,221,82
05666,261,82
05667,346,82
05669,489,82
05670,227,82
05672,372,82
05673,563,82
05674,629,82
05675,572,82
05676,581,82
05677,331,82
05678,487,82
05679,394,82
05680,371,82
05681,480,82
05682,318,82
05701,648,82
05730,682,82
05731,195,82
05732,140,82
05733,193,82
05734,50,82
05735,277,82
05736,172,82
05737,631,82
05738,585,82
05739,375,82
05742,669,82
05743,77,82
05744,201,82
05746,701,82
05747,512,82
05748,886,82
05751,553,82
05753,130,82
05757,265,82
05758,480,82
05759,217,82
05760,122,82
05761,422,82
05762,769,82
05763,262,82
05764,162,82
05765,149,82
05766,484,82
05767,602,82
05768,376,82
05769,121,82
05770,120,82
05772,245,82
05773,658,82
05774,472,82
05775,318,82
05776,585,82
05777,366,82
05778,116,82
05819,418,82
05820,412,82
05821,276,82
05822,347,82
05824,386,82
05825,289,82
05826,339,82
05827,366,82
05828,446,82
05829,459,82
05830,523,82
05832,420,82
05833,410,82
05836,676,82
05837,736,82
05839,477,82
05840,572,82
05841,650,82
05842,433,82
05843,281,82
05845,350,82
05846,397,82
05847,347,82
05850,237,82
05851,377,82
05853,595,82
05855,310,82
05857,310,82
05858,364,82
05859,273,82
05860,372,82
05862,504,82
05866,561,82
05867,431,82
05868,302,82
05871,512,82
05872,413,82
05873,482,82
05874,594,82
05875,586,82
05901,724,82
05902,430,82
05903,628,82
05904,270,82
05905,437,82
05906,422,82
05907,479,82
06001,94,84
06002,56,84
06010,126,84
06013,308,84
06016,42,84
06018,356,84
06019,237,84
06020,121,84
06021,435,84
06022,287,84
06023,35,84
06024,229,84
06026,132,84
06027,355,84
06029,133,84
06031,315,84
06032,54,84
06033,120,84
06035,76,84
06037,62,84
06039,233,84
06040,76,84
06042,58,84
06043,224,84
06051,54,84
06052,74,84
06053,107,84
06057,337,84
06058,461,84
06059,214,84
06060,178,84
06061,119,84
06062,59,84
06063,251,84
06065,289,84
06066,130,84
06067,61,84
06068,229,84
06069,357,84
06070,78,84
06071,75,84
06072,66,84
06073,119,84
06074,31,84
06076,294,84
06078,51,84
06079,256,84
06080,35,84
06081,80,84
06082,45,84
06084,214,84
06085,101,84
06088,35,84
06089,67,84
06090,230,84
06091,386,84
06092,98,84
06093,78,84
06095,58,84
06096,48,84
06098,372,84
06103,25,84
06105,21,84
06106,28,84
06107,52,84
06108,17,84
06109,38,84
06110,28,84
06111,27,84
06112,46,84
06114,18,84
06117,55,84
06118,19,84
06119,44,84
06120,10,84
06226,82,84
06231,111,84
06232,123,84
06234,116,84
06235,131,84
06237,170,84
06238,204,84
06239,142,84
06241,195,84
06242,199,84
06243,206,84
06247,185,84
06248,172,84
06249,149,84
06250,89,84
06254,119,84
06255,128,84
06256,131,84
06258,187,84
06259,185,84
06260,130,84
06262,110,84
06263,78,84
06264,98,84
06266,89,84
06268,204,84
06269,196,84
06277,184,84
06278,172,84
06279,256,84
06280,120,84
06281,254,84
06282,201,84
06320,12,84
06330,100,84
06331,139,84
06332,87,84
06333,82,84
06334,61,84
06335,86,84
06336,94,84
06338,48,84
06339,65,84
06340,18,84
06350,82,84
06351,84,84
06353,101,84
06354,155,84
06355,29,84
06357,16,84
06359,130,84
06360,29,84
06365,64,84
06370,156,84
06371,55,84
06373,119,84
06374,67,84
06375,57,84
06376,23,84
06377,171,84
06378,39,84
06379,25,84
06380,64,84
06382,90,84
06384,127,84
06385,37,84
06387,61,84
06389,37,84
06390,8,84
06401,37,84
06403,147,84
06405,12,84
06409,19,84
06410,73,84
06412,115,84
06413,8,84
06414,153,84
06415,168,84
06416,49,84
06417,91,84
06418,5,84
06419,118,84
06420,116,84
06422,47,84
06423,143,84
06424,142,84
06426,24,84
06437,43,84
06438,108,84
06439,48,84
